year,sex,occupation,employment_status,employed
2008,females,others,contributing family workers,-
2009,males,managers & administrators (including working proprietors),employers,56500
2009,males,managers & administrators (including working proprietors),employees,130500
2009,males,managers & administrators (including working proprietors),own account workers,27000
2009,males,managers & administrators (including working proprietors),contributing family workers,100
2009,males,professionals,employers,6000
2009,males,professionals,employees,175500
2009,males,professionals,own account workers,10400
2009,males,professionals,contributing family workers,200
2009,males,associate professionals & technicians,employers,1500
2009,males,associate professionals & technicians,employees,138200
2009,males,associate professionals & technicians,own account workers,18600
2009,males,associate professionals & technicians,contributing family workers,-
2009,males,clerical support workers,employers,100
2009,males,clerical support workers,employees,55800
2009,males,clerical support workers,own account workers,300
2009,males,clerical support workers,contributing family workers,400
2009,males,service & sales workers,employers,3400
2009,males,service & sales workers,employees,89700
2009,males,service & sales workers,own account workers,13800
2009,males,service & sales workers,contributing family workers,1000
2009,males,craftsmen & related trades workers,employers,1600
2009,males,craftsmen & related trades workers,employees,69200
2009,males,craftsmen & related trades workers,own account workers,8100
2009,males,craftsmen & related trades workers,contributing family workers,600
2009,males,plant & machine operators & assemblers,employers,300
2009,males,plant & machine operators & assemblers,employees,86800
2009,males,plant & machine operators & assemblers,own account workers,43100
2009,males,plant & machine operators & assemblers,contributing family workers,200
2009,males,"cleaners, labourers & related workers",employers,-
2009,males,"cleaners, labourers & related workers",employees,62600
2009,males,"cleaners, labourers & related workers",own account workers,1300
2009,males,"cleaners, labourers & related workers",contributing family workers,1000
2009,males,others,employers,100
2009,males,others,employees,62100
2009,males,others,own account workers,300
2009,males,others,contributing family workers,0
2009,females,managers & administrators (including working proprietors),employers,17100
2009,females,managers & administrators (including working proprietors),employees,70200
2009,females,managers & administrators (including working proprietors),own account workers,9300
2009,females,managers & administrators (including working proprietors),contributing family workers,200
2009,females,professionals,employers,1700
2009,females,professionals,employees,141900
2009,females,professionals,own account workers,6000
2009,females,professionals,contributing family workers,200
2009,females,associate professionals & technicians,employers,600
2009,females,associate professionals & technicians,employees,132300
2009,females,associate professionals & technicians,own account workers,18500
2009,females,associate professionals & technicians,contributing family workers,200
2009,females,clerical support workers,employers,100
2009,females,clerical support workers,employees,177700
2009,females,clerical support workers,own account workers,400
2009,females,clerical support workers,contributing family workers,1700
2009,females,service & sales workers,employers,2800
2009,females,service & sales workers,employees,93800
2009,females,service & sales workers,own account workers,11700
2009,females,service & sales workers,contributing family workers,2700
2009,females,craftsmen & related trades workers,employers,100
2009,females,craftsmen & related trades workers,employees,7500
2009,females,craftsmen & related trades workers,own account workers,1500
2009,females,craftsmen & related trades workers,contributing family workers,100
2009,females,plant & machine operators & assemblers,employers,0
2009,females,plant & machine operators & assemblers,employees,27300
2009,females,plant & machine operators & assemblers,own account workers,500
2009,females,plant & machine operators & assemblers,contributing family workers,100
2009,females,"cleaners, labourers & related workers",employers,-
2009,females,"cleaners, labourers & related workers",employees,71600
2009,females,"cleaners, labourers & related workers",own account workers,1700
2009,females,"cleaners, labourers & related workers",contributing family workers,2800
2009,females,others,employers,-
2009,females,others,employees,900
2009,females,others,own account workers,-
2009,females,others,contributing family workers,-
2010,males,managers & administrators (including working proprietors),employers,58000
2010,males,managers & administrators (including working proprietors),employees,151200
2010,males,managers & administrators (including working proprietors),own account workers,23000
2010,males,managers & administrators (including working proprietors),contributing family workers,500
2010,males,professionals,employers,8000
2010,males,professionals,employees,188600
2010,males,professionals,own account workers,10700
2010,males,professionals,contributing family workers,200
2010,males,associate professionals & technicians,employers,3700
2010,males,associate professionals & technicians,employees,143700
2010,males,associate professionals & technicians,own account workers,19600
2010,males,associate professionals & technicians,contributing family workers,100
2010,males,clerical support workers,employers,0
2010,males,clerical support workers,employees,52400
2010,males,clerical support workers,own account workers,300
2010,males,clerical support workers,contributing family workers,100
2010,males,service & sales workers,employers,4300
2010,males,service & sales workers,employees,91200
2010,males,service & sales workers,own account workers,12400
2010,males,service & sales workers,contributing family workers,1000
2010,males,craftsmen & related trades workers,employers,2700
2010,males,craftsmen & related trades workers,employees,67300
2010,males,craftsmen & related trades workers,own account workers,7700
2010,males,craftsmen & related trades workers,contributing family workers,400
2010,males,plant & machine operators & assemblers,employers,1000
2010,males,plant & machine operators & assemblers,employees,82300
2010,males,plant & machine operators & assemblers,own account workers,42700
2010,males,plant & machine operators & assemblers,contributing family workers,300
2010,males,"cleaners, labourers & related workers",employers,200
2010,males,"cleaners, labourers & related workers",employees,61100
2010,males,"cleaners, labourers & related workers",own account workers,4000
2010,males,"cleaners, labourers & related workers",contributing family workers,1300
2010,males,others,employers,200
2010,males,others,employees,66300
2010,males,others,own account workers,200
2010,males,others,contributing family workers,0
2010,females,managers & administrators (including working proprietors),employers,18800
2010,females,managers & administrators (including working proprietors),employees,91800
2010,females,managers & administrators (including working proprietors),own account workers,8700
2010,females,managers & administrators (including working proprietors),contributing family workers,300
2010,females,professionals,employers,2800
2010,females,professionals,employees,160100
2010,females,professionals,own account workers,5000
2010,females,professionals,contributing family workers,500
2010,females,associate professionals & technicians,employers,1000
2010,females,associate professionals & technicians,employees,115700
2010,females,associate professionals & technicians,own account workers,19400
2010,females,associate professionals & technicians,contributing family workers,300
2010,females,clerical support workers,employers,400
2010,females,clerical support workers,employees,189100
2010,females,clerical support workers,own account workers,400
2010,females,clerical support workers,contributing family workers,800
2010,females,service & sales workers,employers,3200
2010,females,service & sales workers,employees,109100
2010,females,service & sales workers,own account workers,11100
2010,females,service & sales workers,contributing family workers,2200
2010,females,craftsmen & related trades workers,employers,200
2010,females,craftsmen & related trades workers,employees,7300
2010,females,craftsmen & related trades workers,own account workers,800
2010,females,craftsmen & related trades workers,contributing family workers,200
2010,females,plant & machine operators & assemblers,employers,100
2010,females,plant & machine operators & assemblers,employees,25300
2010,females,plant & machine operators & assemblers,own account workers,800
2010,females,plant & machine operators & assemblers,contributing family workers,100
2010,females,"cleaners, labourers & related workers",employers,-
2010,females,"cleaners, labourers & related workers",employees,73900
2010,females,"cleaners, labourers & related workers",own account workers,2500
2010,females,"cleaners, labourers & related workers",contributing family workers,2500
2010,females,others,employers,-
2010,females,others,employees,1900
2010,females,others,own account workers,0
2010,females,others,contributing family workers,100
2011,males,managers & administrators (including working proprietors),employers,66100
2011,males,managers & administrators (including working proprietors),employees,155600
2011,males,managers & administrators (including working proprietors),own account workers,21400
2011,males,managers & administrators (including working proprietors),contributing family workers,400
2011,males,professionals,employers,4600
2011,males,professionals,employees,168700
2011,males,professionals,own account workers,9800
2011,males,professionals,contributing family workers,100
2011,males,associate professionals & technicians,employers,1700
2011,males,associate professionals & technicians,employees,156700
2011,males,associate professionals & technicians,own account workers,23900
2011,males,associate professionals & technicians,contributing family workers,300
2011,males,clerical support workers,employers,200
2011,males,clerical support workers,employees,56300
2011,males,clerical support workers,own account workers,500
2011,males,clerical support workers,contributing family workers,300
2011,males,service & sales workers,employers,4200
2011,males,service & sales workers,employees,89700
2011,males,service & sales workers,own account workers,11800
2011,males,service & sales workers,contributing family workers,1600
2011,males,craftsmen & related trades workers,employers,1500
2011,males,craftsmen & related trades workers,employees,71600
2011,males,craftsmen & related trades workers,own account workers,8600
2011,males,craftsmen & related trades workers,contributing family workers,400
2011,males,plant & machine operators & assemblers,employers,800
2011,males,plant & machine operators & assemblers,employees,83800
2011,males,plant & machine operators & assemblers,own account workers,46600
2011,males,plant & machine operators & assemblers,contributing family workers,400
2011,males,"cleaners, labourers & related workers",employers,-
2011,males,"cleaners, labourers & related workers",employees,60000
2011,males,"cleaners, labourers & related workers",own account workers,1700
2011,males,"cleaners, labourers & related workers",contributing family workers,1100
2011,males,others,employers,-
2011,males,others,employees,68200
2011,males,others,own account workers,0
2011,males,others,contributing family workers,-
2011,females,managers & administrators (including working proprietors),employers,22200
2011,females,managers & administrators (including working proprietors),employees,91800
2011,females,managers & administrators (including working proprietors),own account workers,8500
2011,females,managers & administrators (including working proprietors),contributing family workers,900
2011,females,professionals,employers,2400
2011,females,professionals,employees,157900
2011,females,professionals,own account workers,4700
2011,females,professionals,contributing family workers,200
2011,females,associate professionals & technicians,employers,1100
2011,females,associate professionals & technicians,employees,130200
2011,females,associate professionals & technicians,own account workers,23100
2011,females,associate professionals & technicians,contributing family workers,0
2011,females,clerical support workers,employers,0
2011,females,clerical support workers,employees,190000
2011,females,clerical support workers,own account workers,400
2011,females,clerical support workers,contributing family workers,1700
2011,females,service & sales workers,employers,3000
2011,females,service & sales workers,employees,110600
2011,females,service & sales workers,own account workers,10600
2011,females,service & sales workers,contributing family workers,3300
2011,females,craftsmen & related trades workers,employers,400
2011,females,craftsmen & related trades workers,employees,6000
2011,females,craftsmen & related trades workers,own account workers,1000
2011,females,craftsmen & related trades workers,contributing family workers,0
2011,females,plant & machine operators & assemblers,employers,0
2011,females,plant & machine operators & assemblers,employees,24500
2011,females,plant & machine operators & assemblers,own account workers,1100
2011,females,plant & machine operators & assemblers,contributing family workers,200
2011,females,"cleaners, labourers & related workers",employers,-
2011,females,"cleaners, labourers & related workers",employees,76000
2011,females,"cleaners, labourers & related workers",own account workers,3000
2011,females,"cleaners, labourers & related workers",contributing family workers,3800
2011,females,others,employers,-
2011,females,others,employees,1400
2011,females,others,own account workers,-
2011,females,others,contributing family workers,-
2012,males,managers & administrators (including working proprietors),employers,67400
2012,males,managers & administrators (including working proprietors),employees,151900
2012,males,managers & administrators (including working proprietors),own account workers,19300
2012,males,managers & administrators (including working proprietors),contributing family workers,100
2012,males,professionals,employers,7800
2012,males,professionals,employees,181200
2012,males,professionals,own account workers,9800
2012,males,professionals,contributing family workers,0
2012,males,associate professionals & technicians,employers,4100
2012,males,associate professionals & technicians,employees,158000
2012,males,associate professionals & technicians,own account workers,22100
2012,males,associate professionals & technicians,contributing family workers,400
2012,males,clerical support workers,employers,300
2012,males,clerical support workers,employees,60100
2012,males,clerical support workers,own account workers,400
2012,males,clerical support workers,contributing family workers,600
2012,males,service & sales workers,employers,4700
2012,males,service & sales workers,employees,97300
2012,males,service & sales workers,own account workers,12600
2012,males,service & sales workers,contributing family workers,1000
2012,males,craftsmen & related trades workers,employers,4200
2012,males,craftsmen & related trades workers,employees,68700
2012,males,craftsmen & related trades workers,own account workers,8500
2012,males,craftsmen & related trades workers,contributing family workers,300
2012,males,plant & machine operators & assemblers,employers,1100
2012,males,plant & machine operators & assemblers,employees,77600
2012,males,plant & machine operators & assemblers,own account workers,45900
2012,males,plant & machine operators & assemblers,contributing family workers,300
2012,males,"cleaners, labourers & related workers",employers,0
2012,males,"cleaners, labourers & related workers",employees,60100
2012,males,"cleaners, labourers & related workers",own account workers,3200
2012,males,"cleaners, labourers & related workers",contributing family workers,1400
2012,males,others,employers,-
2012,males,others,employees,67600
2012,males,others,own account workers,100
2012,males,others,contributing family workers,-
2012,females,managers & administrators (including working proprietors),employers,23000
2012,females,managers & administrators (including working proprietors),employees,89000
2012,females,managers & administrators (including working proprietors),own account workers,8000
2012,females,managers & administrators (including working proprietors),contributing family workers,200
2012,females,professionals,employers,3800
2012,females,professionals,employees,160700
2012,females,professionals,own account workers,6400
2012,females,professionals,contributing family workers,200
2012,females,associate professionals & technicians,employers,2400
2012,females,associate professionals & technicians,employees,132700
2012,females,associate professionals & technicians,own account workers,20600
2012,females,associate professionals & technicians,contributing family workers,100
2012,females,clerical support workers,employers,200
2012,females,clerical support workers,employees,201900
2012,females,clerical support workers,own account workers,500
2012,females,clerical support workers,contributing family workers,1700
2012,females,service & sales workers,employers,4000
2012,females,service & sales workers,employees,116400
2012,females,service & sales workers,own account workers,13100
2012,females,service & sales workers,contributing family workers,3300
2012,females,craftsmen & related trades workers,employers,100
2012,females,craftsmen & related trades workers,employees,7300
2012,females,craftsmen & related trades workers,own account workers,1100
2012,females,craftsmen & related trades workers,contributing family workers,200
2012,females,plant & machine operators & assemblers,employers,200
2012,females,plant & machine operators & assemblers,employees,21900
2012,females,plant & machine operators & assemblers,own account workers,1700
2012,females,plant & machine operators & assemblers,contributing family workers,100
2012,females,"cleaners, labourers & related workers",employers,-
2012,females,"cleaners, labourers & related workers",employees,74600
2012,females,"cleaners, labourers & related workers",own account workers,3300
2012,females,"cleaners, labourers & related workers",contributing family workers,2800
2012,females,others,employers,-
2012,females,others,employees,900
2012,females,others,own account workers,-
2012,females,others,contributing family workers,0
2013,males,managers & administrators (including working proprietors),employers,67800
2013,males,managers & administrators (including working proprietors),employees,154600
2013,males,managers & administrators (including working proprietors),own account workers,17200
2013,males,managers & administrators (including working proprietors),contributing family workers,100
2013,males,professionals,employers,7800
2013,males,professionals,employees,177000
2013,males,professionals,own account workers,10700
2013,males,professionals,contributing family workers,100
2013,males,associate professionals & technicians,employers,4400
2013,males,associate professionals & technicians,employees,169000
2013,males,associate professionals & technicians,own account workers,21400
2013,males,associate professionals & technicians,contributing family workers,300
2013,males,clerical support workers,employers,200
2013,males,clerical support workers,employees,64100
2013,males,clerical support workers,own account workers,400
2013,males,clerical support workers,contributing family workers,400
2013,males,service & sales workers,employers,5500
2013,males,service & sales workers,employees,95700
2013,males,service & sales workers,own account workers,9700
2013,males,service & sales workers,contributing family workers,1100
2013,males,craftsmen & related trades workers,employers,3400
2013,males,craftsmen & related trades workers,employees,64700
2013,males,craftsmen & related trades workers,own account workers,6700
2013,males,craftsmen & related trades workers,contributing family workers,100
2013,males,plant & machine operators & assemblers,employers,1100
2013,males,plant & machine operators & assemblers,employees,76300
2013,males,plant & machine operators & assemblers,own account workers,47300
2013,males,plant & machine operators & assemblers,contributing family workers,300
2013,males,"cleaners, labourers & related workers",employers,0
2013,males,"cleaners, labourers & related workers",employees,62400
2013,males,"cleaners, labourers & related workers",own account workers,3800
2013,males,"cleaners, labourers & related workers",contributing family workers,1100
2013,males,others,employers,-
2013,males,others,employees,67500
2013,males,others,own account workers,0
2013,males,others,contributing family workers,0
2013,females,managers & administrators (including working proprietors),employers,26500
2013,females,managers & administrators (including working proprietors),employees,86700
2013,females,managers & administrators (including working proprietors),own account workers,7400
2013,females,managers & administrators (including working proprietors),contributing family workers,100
2013,females,professionals,employers,3700
2013,females,professionals,employees,166700
2013,females,professionals,own account workers,5800
2013,females,professionals,contributing family workers,200
2013,females,associate professionals & technicians,employers,2800
2013,females,associate professionals & technicians,employees,141000
2013,females,associate professionals & technicians,own account workers,20300
2013,females,associate professionals & technicians,contributing family workers,200
2013,females,clerical support workers,employers,200
2013,females,clerical support workers,employees,204500
2013,females,clerical support workers,own account workers,600
2013,females,clerical support workers,contributing family workers,1300
2013,females,service & sales workers,employers,5000
2013,females,service & sales workers,employees,114300
2013,females,service & sales workers,own account workers,11000
2013,females,service & sales workers,contributing family workers,2400
2013,females,craftsmen & related trades workers,employers,100
2013,females,craftsmen & related trades workers,employees,6000
2013,females,craftsmen & related trades workers,own account workers,900
2013,females,craftsmen & related trades workers,contributing family workers,200
2013,females,plant & machine operators & assemblers,employers,100
2013,females,plant & machine operators & assemblers,employees,20600
2013,females,plant & machine operators & assemblers,own account workers,1100
2013,females,plant & machine operators & assemblers,contributing family workers,100
2013,females,"cleaners, labourers & related workers",employers,-
2013,females,"cleaners, labourers & related workers",employees,77400
2013,females,"cleaners, labourers & related workers",own account workers,2700
2013,females,"cleaners, labourers & related workers",contributing family workers,2800
2013,females,others,employers,-
2013,females,others,employees,1100
2013,females,others,own account workers,-
2013,females,others,contributing family workers,-
2014,males,managers & administrators (including working proprietors),employers,63200
2014,males,managers & administrators (including working proprietors),employees,147700
2014,males,managers & administrators (including working proprietors),own account workers,22200
2014,males,managers & administrators (including working proprietors),contributing family workers,100
2014,males,professionals,employers,6200
2014,males,professionals,employees,186900
2014,males,professionals,own account workers,11900
2014,males,professionals,contributing family workers,300
2014,males,associate professionals & technicians,employers,3600
2014,males,associate professionals & technicians,employees,173000
2014,males,associate professionals & technicians,own account workers,26000
2014,males,associate professionals & technicians,contributing family workers,100
2014,males,clerical support workers,employers,-
2014,males,clerical support workers,employees,65900
2014,males,clerical support workers,own account workers,400
2014,males,clerical support workers,contributing family workers,200
2014,males,service & sales workers,employers,3900
2014,males,service & sales workers,employees,95300
2014,males,service & sales workers,own account workers,10300
2014,males,service & sales workers,contributing family workers,1200
2014,males,craftsmen & related trades workers,employers,2900
2014,males,craftsmen & related trades workers,employees,64300
2014,males,craftsmen & related trades workers,own account workers,7800
2014,males,craftsmen & related trades workers,contributing family workers,200
2014,males,plant & machine operators & assemblers,employers,1000
2014,males,plant & machine operators & assemblers,employees,78300
2014,males,plant & machine operators & assemblers,own account workers,46600
2014,males,plant & machine operators & assemblers,contributing family workers,400
2014,males,"cleaners, labourers & related workers",employers,200
2014,males,"cleaners, labourers & related workers",employees,67500
2014,males,"cleaners, labourers & related workers",own account workers,3400
2014,males,"cleaners, labourers & related workers",contributing family workers,1000
2014,males,others,employers,-
2014,males,others,employees,68800
2014,males,others,own account workers,100
2014,males,others,contributing family workers,-
2014,females,managers & administrators (including working proprietors),employers,22100
2014,females,managers & administrators (including working proprietors),employees,86000
2014,females,managers & administrators (including working proprietors),own account workers,9700
2014,females,managers & administrators (including working proprietors),contributing family workers,200
2014,females,professionals,employers,2600
2014,females,professionals,employees,169600
2014,females,professionals,own account workers,5600
2014,females,professionals,contributing family workers,100
2014,females,associate professionals & technicians,employers,2000
2014,females,associate professionals & technicians,employees,163100
2014,females,associate professionals & technicians,own account workers,23600
2014,females,associate professionals & technicians,contributing family workers,200
2014,females,clerical support workers,employers,200
2014,females,clerical support workers,employees,199100
2014,females,clerical support workers,own account workers,1100
2014,females,clerical support workers,contributing family workers,1600
2014,females,service & sales workers,employers,3800
2014,females,service & sales workers,employees,117200
2014,females,service & sales workers,own account workers,10500
2014,females,service & sales workers,contributing family workers,2000
2014,females,craftsmen & related trades workers,employers,200
2014,females,craftsmen & related trades workers,employees,6000
2014,females,craftsmen & related trades workers,own account workers,600
2014,females,craftsmen & related trades workers,contributing family workers,100
2014,females,plant & machine operators & assemblers,employers,100
2014,females,plant & machine operators & assemblers,employees,18000
2014,females,plant & machine operators & assemblers,own account workers,1200
2014,females,plant & machine operators & assemblers,contributing family workers,200
2014,females,"cleaners, labourers & related workers",employers,0
2014,females,"cleaners, labourers & related workers",employees,87600
2014,females,"cleaners, labourers & related workers",own account workers,2800
2014,females,"cleaners, labourers & related workers",contributing family workers,3300
2014,females,others,employers,-
2014,females,others,employees,1900
2014,females,others,own account workers,-
