year,sex,occupation,employment_status,employed
2014,females,others,contributing family workers,-
2015,males,managers & administrators (including working proprietors),employers,70500
2015,males,managers & administrators (including working proprietors),employees,148100
2015,males,managers & administrators (including working proprietors),own account workers,16400
2015,males,managers & administrators (including working proprietors),contributing family workers,100
2015,males,professionals,employers,5800
2015,males,professionals,employees,193500
2015,males,professionals,own account workers,9900
2015,males,professionals,contributing family workers,100
2015,males,associate professionals & technicians,employers,3300
2015,males,associate professionals & technicians,employees,186600
2015,males,associate professionals & technicians,own account workers,24500
2015,males,associate professionals & technicians,contributing family workers,100
2015,males,clerical support workers,employers,0
2015,males,clerical support workers,employees,62400
2015,males,clerical support workers,own account workers,300
2015,males,clerical support workers,contributing family workers,500
2015,males,service & sales workers,employers,4400
2015,males,service & sales workers,employees,98400
2015,males,service & sales workers,own account workers,9300
2015,males,service & sales workers,contributing family workers,900
2015,males,craftsmen & related trades workers,employers,3200
2015,males,craftsmen & related trades workers,employees,64200
2015,males,craftsmen & related trades workers,own account workers,6700
2015,males,craftsmen & related trades workers,contributing family workers,100
2015,males,plant & machine operators & assemblers,employers,700
2015,males,plant & machine operators & assemblers,employees,79400
2015,males,plant & machine operators & assemblers,own account workers,48100
2015,males,plant & machine operators & assemblers,contributing family workers,500
2015,males,"cleaners, labourers & related workers",employers,0
2015,males,"cleaners, labourers & related workers",employees,60900
2015,males,"cleaners, labourers & related workers",own account workers,3700
2015,males,"cleaners, labourers & related workers",contributing family workers,900
2015,males,others,employers,0
2015,males,others,employees,67700
2015,males,others,own account workers,200
2015,males,others,contributing family workers,-
2015,females,managers & administrators (including working proprietors),employers,25600
2015,females,managers & administrators (including working proprietors),employees,87200
2015,females,managers & administrators (including working proprietors),own account workers,7700
2015,females,managers & administrators (including working proprietors),contributing family workers,100
2015,females,professionals,employers,3100
2015,females,professionals,employees,187000
2015,females,professionals,own account workers,4700
2015,females,professionals,contributing family workers,-
2015,females,associate professionals & technicians,employers,1700
2015,females,associate professionals & technicians,employees,169700
2015,females,associate professionals & technicians,own account workers,22200
2015,females,associate professionals & technicians,contributing family workers,200
2015,females,clerical support workers,employers,100
2015,females,clerical support workers,employees,202900
2015,females,clerical support workers,own account workers,500
2015,females,clerical support workers,contributing family workers,800
2015,females,service & sales workers,employers,3600
2015,females,service & sales workers,employees,122900
2015,females,service & sales workers,own account workers,10500
2015,females,service & sales workers,contributing family workers,1500
2015,females,craftsmen & related trades workers,employers,500
2015,females,craftsmen & related trades workers,employees,8100
2015,females,craftsmen & related trades workers,own account workers,900
2015,females,craftsmen & related trades workers,contributing family workers,200
2015,females,plant & machine operators & assemblers,employers,100
2015,females,plant & machine operators & assemblers,employees,15800
2015,females,plant & machine operators & assemblers,own account workers,1500
2015,females,plant & machine operators & assemblers,contributing family workers,-
2015,females,"cleaners, labourers & related workers",employers,-
2015,females,"cleaners, labourers & related workers",employees,90400
2015,females,"cleaners, labourers & related workers",own account workers,2200
2015,females,"cleaners, labourers & related workers",contributing family workers,2100
2015,females,others,employers,-
2015,females,others,employees,2100
2015,females,others,own account workers,-
2015,females,others,contributing family workers,-
2016,males,managers & administrators (including working proprietors),employers,63000
2016,males,managers & administrators (including working proprietors),employees,140400
2016,males,managers & administrators (including working proprietors),own account workers,16700
2016,males,managers & administrators (including working proprietors),contributing family workers,0
2016,males,professionals,employers,5900
2016,males,professionals,employees,198500
2016,males,professionals,own account workers,10500
2016,males,professionals,contributing family workers,200
2016,males,associate professionals & technicians,employers,4000
2016,males,associate professionals & technicians,employees,199500
2016,males,associate professionals & technicians,own account workers,26000
2016,males,associate professionals & technicians,contributing family workers,400
2016,males,clerical support workers,employers,100
2016,males,clerical support workers,employees,58900
2016,males,clerical support workers,own account workers,700
2016,males,clerical support workers,contributing family workers,400
2016,males,service & sales workers,employers,5000
2016,males,service & sales workers,employees,97500
2016,males,service & sales workers,own account workers,11900
2016,males,service & sales workers,contributing family workers,1200
2016,males,craftsmen & related trades workers,employers,3800
2016,males,craftsmen & related trades workers,employees,59600
2016,males,craftsmen & related trades workers,own account workers,5700
2016,males,craftsmen & related trades workers,contributing family workers,700
2016,males,plant & machine operators & assemblers,employers,1300
2016,males,plant & machine operators & assemblers,employees,79100
2016,males,plant & machine operators & assemblers,own account workers,52000
2016,males,plant & machine operators & assemblers,contributing family workers,200
2016,males,"cleaners, labourers & related workers",employers,-
2016,males,"cleaners, labourers & related workers",employees,61200
2016,males,"cleaners, labourers & related workers",own account workers,3600
2016,males,"cleaners, labourers & related workers",contributing family workers,800
2016,males,others,employers,0
2016,males,others,employees,69300
2016,males,others,own account workers,400
2016,males,others,contributing family workers,0
2016,females,managers & administrators (including working proprietors),employers,22000
2016,females,managers & administrators (including working proprietors),employees,88500
2016,females,managers & administrators (including working proprietors),own account workers,6500
2016,females,managers & administrators (including working proprietors),contributing family workers,300
2016,females,professionals,employers,3300
2016,females,professionals,employees,196200
2016,females,professionals,own account workers,5000
2016,females,professionals,contributing family workers,300
2016,females,associate professionals & technicians,employers,2100
2016,females,associate professionals & technicians,employees,181500
2016,females,associate professionals & technicians,own account workers,24100
2016,females,associate professionals & technicians,contributing family workers,500
2016,females,clerical support workers,employers,0
2016,females,clerical support workers,employees,183200
2016,females,clerical support workers,own account workers,500
2016,females,clerical support workers,contributing family workers,1200
2016,females,service & sales workers,employers,4300
2016,females,service & sales workers,employees,129200
2016,females,service & sales workers,own account workers,11000
2016,females,service & sales workers,contributing family workers,2300
2016,females,craftsmen & related trades workers,employers,300
2016,females,craftsmen & related trades workers,employees,8100
2016,females,craftsmen & related trades workers,own account workers,900
2016,females,craftsmen & related trades workers,contributing family workers,100
2016,females,plant & machine operators & assemblers,employers,0
2016,females,plant & machine operators & assemblers,employees,17300
2016,females,plant & machine operators & assemblers,own account workers,1200
2016,females,plant & machine operators & assemblers,contributing family workers,0
2016,females,"cleaners, labourers & related workers",employers,-
2016,females,"cleaners, labourers & related workers",employees,89600
2016,females,"cleaners, labourers & related workers",own account workers,3100
2016,females,"cleaners, labourers & related workers",contributing family workers,2300
2016,females,others,employers,-
2016,females,others,employees,1900
2016,females,others,own account workers,-
2016,females,others,contributing family workers,-
2017,males,managers & administrators (including working proprietors),employers,60900
2017,males,managers & administrators (including working proprietors),employees,148200
2017,males,managers & administrators (including working proprietors),own account workers,21300
2017,males,managers & administrators (including working proprietors),contributing family workers,100
2017,males,professionals,employers,5700
2017,males,professionals,employees,210700
2017,males,professionals,own account workers,12500
2017,males,professionals,contributing family workers,-
2017,males,associate professionals & technicians,employers,3900
2017,males,associate professionals & technicians,employees,195300
2017,males,associate professionals & technicians,own account workers,25400
2017,males,associate professionals & technicians,contributing family workers,200
2017,males,clerical support workers,employers,200
2017,males,clerical support workers,employees,57100
2017,males,clerical support workers,own account workers,700
2017,males,clerical support workers,contributing family workers,500
2017,males,service & sales workers,employers,3600
2017,males,service & sales workers,employees,92000
2017,males,service & sales workers,own account workers,11400
2017,males,service & sales workers,contributing family workers,1200
2017,males,craftsmen & related trades workers,employers,2400
2017,males,craftsmen & related trades workers,employees,55500
2017,males,craftsmen & related trades workers,own account workers,8900
2017,males,craftsmen & related trades workers,contributing family workers,300
2017,males,plant & machine operators & assemblers,employers,800
2017,males,plant & machine operators & assemblers,employees,75100
2017,males,plant & machine operators & assemblers,own account workers,59600
2017,males,plant & machine operators & assemblers,contributing family workers,400
2017,males,"cleaners, labourers & related workers",employers,-
2017,males,"cleaners, labourers & related workers",employees,64100
2017,males,"cleaners, labourers & related workers",own account workers,3700
2017,males,"cleaners, labourers & related workers",contributing family workers,600
2017,males,others,employers,-
2017,males,others,employees,66700
2017,males,others,own account workers,300
2017,males,others,contributing family workers,-
2017,females,managers & administrators (including working proprietors),employers,20400
2017,females,managers & administrators (including working proprietors),employees,88900
2017,females,managers & administrators (including working proprietors),own account workers,8800
2017,females,managers & administrators (including working proprietors),contributing family workers,200
2017,females,professionals,employers,2800
2017,females,professionals,employees,197500
2017,females,professionals,own account workers,8300
2017,females,professionals,contributing family workers,100
2017,females,associate professionals & technicians,employers,1500
2017,females,associate professionals & technicians,employees,183600
2017,females,associate professionals & technicians,own account workers,26100
2017,females,associate professionals & technicians,contributing family workers,200
2017,females,clerical support workers,employers,100
2017,females,clerical support workers,employees,186800
2017,females,clerical support workers,own account workers,1000
2017,females,clerical support workers,contributing family workers,1700
2017,females,service & sales workers,employers,3000
2017,females,service & sales workers,employees,125200
2017,females,service & sales workers,own account workers,8900
2017,females,service & sales workers,contributing family workers,2700
2017,females,craftsmen & related trades workers,employers,300
2017,females,craftsmen & related trades workers,employees,7100
2017,females,craftsmen & related trades workers,own account workers,1200
2017,females,craftsmen & related trades workers,contributing family workers,300
2017,females,plant & machine operators & assemblers,employers,-
2017,females,plant & machine operators & assemblers,employees,13500
2017,females,plant & machine operators & assemblers,own account workers,1800
2017,females,plant & machine operators & assemblers,contributing family workers,200
2017,females,"cleaners, labourers & related workers",employers,-
2017,females,"cleaners, labourers & related workers",employees,87700
2017,females,"cleaners, labourers & related workers",own account workers,2800
2017,females,"cleaners, labourers & related workers",contributing family workers,1500
2017,females,others,employers,-
2017,females,others,employees,1900
2017,females,others,own account workers,-
2017,females,others,contributing family workers,100
2018,males,managers & administrators (including working proprietors),employers,49700
2018,males,managers & administrators (including working proprietors),employees,151300
2018,males,managers & administrators (including working proprietors),own account workers,18200
2018,males,managers & administrators (including working proprietors),contributing family workers,-
2018,males,professionals,employers,6800
2018,males,professionals,employees,215700
2018,males,professionals,own account workers,13400
2018,males,professionals,contributing family workers,100
2018,males,associate professionals & technicians,employers,5000
2018,males,associate professionals & technicians,employees,207700
2018,males,associate professionals & technicians,own account workers,29500
2018,males,associate professionals & technicians,contributing family workers,300
2018,males,clerical support workers,employers,100
2018,males,clerical support workers,employees,58600
2018,males,clerical support workers,own account workers,1100
2018,males,clerical support workers,contributing family workers,200
2018,males,service & sales workers,employers,3700
2018,males,service & sales workers,employees,98300
2018,males,service & sales workers,own account workers,11700
2018,males,service & sales workers,contributing family workers,1800
2018,males,craftsmen & related trades workers,employers,3200
2018,males,craftsmen & related trades workers,employees,50500
2018,males,craftsmen & related trades workers,own account workers,7000
2018,males,craftsmen & related trades workers,contributing family workers,200
2018,males,plant & machine operators & assemblers,employers,1000
2018,males,plant & machine operators & assemblers,employees,72500
2018,males,plant & machine operators & assemblers,own account workers,56900
2018,males,plant & machine operators & assemblers,contributing family workers,100
2018,males,"cleaners, labourers & related workers",employers,-
2018,males,"cleaners, labourers & related workers",employees,61400
2018,males,"cleaners, labourers & related workers",own account workers,4200
2018,males,"cleaners, labourers & related workers",contributing family workers,600
2018,males,others,employers,100
2018,males,others,employees,66300
2018,males,others,own account workers,200
2018,males,others,contributing family workers,-
2018,females,managers & administrators (including working proprietors),employers,17300
2018,females,managers & administrators (including working proprietors),employees,96900
2018,females,managers & administrators (including working proprietors),own account workers,7800
2018,females,managers & administrators (including working proprietors),contributing family workers,400
2018,females,professionals,employers,2700
2018,females,professionals,employees,201400
2018,females,professionals,own account workers,9100
2018,females,professionals,contributing family workers,100
2018,females,associate professionals & technicians,employers,2000
2018,females,associate professionals & technicians,employees,194200
2018,females,associate professionals & technicians,own account workers,25900
2018,females,associate professionals & technicians,contributing family workers,400
2018,females,clerical support workers,employers,200
2018,females,clerical support workers,employees,178700
2018,females,clerical support workers,own account workers,1500
2018,females,clerical support workers,contributing family workers,800
2018,females,service & sales workers,employers,3800
2018,females,service & sales workers,employees,129800
2018,females,service & sales workers,own account workers,12200
2018,females,service & sales workers,contributing family workers,1300
2018,females,craftsmen & related trades workers,employers,400
2018,females,craftsmen & related trades workers,employees,7200
2018,females,craftsmen & related trades workers,own account workers,1200
2018,females,craftsmen & related trades workers,contributing family workers,300
2018,females,plant & machine operators & assemblers,employers,200
2018,females,plant & machine operators & assemblers,employees,15300
2018,females,plant & machine operators & assemblers,own account workers,1800
2018,females,plant & machine operators & assemblers,contributing family workers,100
2018,females,"cleaners, labourers & related workers",employers,100
2018,females,"cleaners, labourers & related workers",employees,85300
2018,females,"cleaners, labourers & related workers",own account workers,3500
2018,females,"cleaners, labourers & related workers",contributing family workers,1300
2018,females,others,employers,100
2018,females,others,employees,3200
2018,females,others,own account workers,-
2018,females,others,contributing family workers,-
2019,males,managers & administrators (including working proprietors),employers,50400
2019,males,managers & administrators (including working proprietors),employees,163100
2019,males,managers & administrators (including working proprietors),own account workers,17300
2019,males,managers & administrators (including working proprietors),contributing family workers,100
2019,males,professionals,employers,6600
2019,males,professionals,employees,219600
2019,males,professionals,own account workers,11600
2019,males,professionals,contributing family workers,100
2019,males,associate professionals & technicians,employers,3500
2019,males,associate professionals & technicians,employees,212200
2019,males,associate professionals & technicians,own account workers,27000
2019,males,associate professionals & technicians,contributing family workers,400
2019,males,clerical support workers,employers,400
2019,males,clerical support workers,employees,55000
2019,males,clerical support workers,own account workers,600
2019,males,clerical support workers,contributing family workers,200
2019,males,service & sales workers,employers,3400
2019,males,service & sales workers,employees,97900
2019,males,service & sales workers,own account workers,9500
2019,males,service & sales workers,contributing family workers,900
2019,males,craftsmen & related trades workers,employers,3000
2019,males,craftsmen & related trades workers,employees,50100
2019,males,craftsmen & related trades workers,own account workers,5300
2019,males,craftsmen & related trades workers,contributing family workers,500
2019,males,plant & machine operators & assemblers,employers,500
2019,males,plant & machine operators & assemblers,employees,72900
2019,males,plant & machine operators & assemblers,own account workers,63200
2019,males,plant & machine operators & assemblers,contributing family workers,200
2019,males,"cleaners, labourers & related workers",employers,-
2019,males,"cleaners, labourers & related workers",employees,61200
2019,males,"cleaners, labourers & related workers",own account workers,2300
2019,males,"cleaners, labourers & related workers",contributing family workers,900
2019,males,others,employers,200
2019,males,others,employees,61900
2019,males,others,own account workers,300
2019,males,others,contributing family workers,100
2019,females,managers & administrators (including working proprietors),employers,19400
2019,females,managers & administrators (including working proprietors),employees,104300
2019,females,managers & administrators (including working proprietors),own account workers,9700
2019,females,managers & administrators (including working proprietors),contributing family workers,400
2019,females,professionals,employers,2700
2019,females,professionals,employees,220500
2019,females,professionals,own account workers,8200
2019,females,professionals,contributing family workers,100
2019,females,associate professionals & technicians,employers,1200
2019,females,associate professionals & technicians,employees,197000
2019,females,associate professionals & technicians,own account workers,26400
2019,females,associate professionals & technicians,contributing family workers,200
2019,females,clerical support workers,employers,-
2019,females,clerical support workers,employees,179700
2019,females,clerical support workers,own account workers,200
2019,females,clerical support workers,contributing family workers,900
2019,females,service & sales workers,employers,3000
2019,females,service & sales workers,employees,131100
2019,females,service & sales workers,own account workers,9800
2019,females,service & sales workers,contributing family workers,2100
2019,females,craftsmen & related trades workers,employers,400
2019,females,craftsmen & related trades workers,employees,7600
2019,females,craftsmen & related trades workers,own account workers,600
2019,females,craftsmen & related trades workers,contributing family workers,200
2019,females,plant & machine operators & assemblers,employers,100
2019,females,plant & machine operators & assemblers,employees,11800
2019,females,plant & machine operators & assemblers,own account workers,2600
2019,females,plant & machine operators & assemblers,contributing family workers,100
2019,females,"cleaners, labourers & related workers",employers,-
2019,females,"cleaners, labourers & related workers",employees,82000
2019,females,"cleaners, labourers & related workers",own account workers,1300
2019,females,"cleaners, labourers & related workers",contributing family workers,1800
2019,females,others,employers,-
2019,females,others,employees,2300
2019,females,others,own account workers,-
2019,females,others,contributing family workers,100
2020,males,managers & administrators (including working proprietors),employers,56400
2020,males,managers & administrators (including working proprietors),employees,157900
2020,males,managers & administrators (including working proprietors),own account workers,16900
2020,males,managers & administrators (including working proprietors),contributing family workers,200
2020,males,professionals,employers,1900
2020,males,professionals,employees,245400
2020,males,professionals,own account workers,12800
2020,males,professionals,contributing family workers,400
2020,males,associate professionals & technicians,employers,2100
2020,males,associate professionals & technicians,employees,199800
2020,males,associate professionals & technicians,own account workers,29500
2020,males,associate professionals & technicians,contributing family workers,400
2020,males,clerical support workers,employers,100
2020,males,clerical support workers,employees,50400
2020,males,clerical support workers,own account workers,600
2020,males,clerical support workers,contributing family workers,600
2020,males,service & sales workers,employers,3200
2020,males,service & sales workers,employees,94100
2020,males,service & sales workers,own account workers,8900
2020,males,service & sales workers,contributing family workers,1400
2020,males,craftsmen & related trades workers,employers,3500
2020,males,craftsmen & related trades workers,employees,43500
2020,males,craftsmen & related trades workers,own account workers,6500
2020,males,craftsmen & related trades workers,contributing family workers,200
2020,males,plant & machine operators & assemblers,employers,1000
2020,males,plant & machine operators & assemblers,employees,65500
2020,males,plant & machine operators & assemblers,own account workers,70300
2020,males,plant & machine operators & assemblers,contributing family workers,400
2020,males,"cleaners, labourers & related workers",employers,100
2020,males,"cleaners, labourers & related workers",employees,60200
2020,males,"cleaners, labourers & related workers",own account workers,3800
2020,males,"cleaners, labourers & related workers",contributing family workers,1300
2020,males,others,employers,200
2020,males,others,employees,58700
2020,males,others,own account workers,100
2020,males,others,contributing family workers,100
2020,females,managers & administrators (including working proprietors),employers,22300
2020,females,managers & administrators (including working proprietors),employees,105900
2020,females,managers & administrators (including working proprietors),own account workers,8600
2020,females,managers & administrators (including working proprietors),contributing family workers,200
2020,females,professionals,employers,1500
2020,females,professionals,employees,232800
2020,females,professionals,own account workers,9100
2020,females,professionals,contributing family workers,300
2020,females,associate professionals & technicians,employers,1100
2020,females,associate professionals & technicians,employees,197000
2020,females,associate professionals & technicians,own account workers,27800
2020,females,associate professionals & technicians,contributing family workers,600
2020,females,clerical support workers,employers,-
2020,females,clerical support workers,employees,161500
2020,females,clerical support workers,own account workers,900
2020,females,clerical support workers,contributing family workers,1500
2020,females,service & sales workers,employers,3400
2020,females,service & sales workers,employees,126200
2020,females,service & sales workers,own account workers,11600
2020,females,service & sales workers,contributing family workers,3600
2020,females,craftsmen & related trades workers,employers,500
2020,females,craftsmen & related trades workers,employees,6300
2020,females,craftsmen & related trades workers,own account workers,1700
2020,females,craftsmen & related trades workers,contributing family workers,200
2020,females,plant & machine operators & assemblers,employers,300
2020,females,plant & machine operators & assemblers,employees,10100
2020,females,plant & machine operators & assemblers,own account workers,4000
2020,females,plant & machine operators & assemblers,contributing family workers,200
2020,females,"cleaners, labourers & related workers",employers,100
2020,females,"cleaners, labourers & related workers",employees,80100
2020,females,"cleaners, labourers & related workers",own account workers,2000
2020,females,"cleaners, labourers & related workers",contributing family workers,2000
2020,females,others,employers,-
2020,females,others,employees,1400
2020,females,others,own account workers,100
2020,females,others,contributing family workers,-
