year,level_1,value
1960,Total Live-births,61775
1961,Total Live-births,59930
1962,Total Live-births,58977
1963,Total Live-births,59530
1964,Total Live-births,58217
1965,Total Live-births,55725
1966,Total Live-births,54680
1967,Total Live-births,50560
1968,Total Live-births,47241
1969,Total Live-births,44562
1970,Total Live-births,45934
1971,Total Live-births,47088
1972,Total Live-births,49678
1973,Total Live-births,48269
1974,Total Live-births,43268
1975,Total Live-births,39948
1976,Total Live-births,42783
1977,Total Live-births,38364
1978,Total Live-births,39441
1979,Total Live-births,40779
1980,Total Live-births,41217
1981,Total Live-births,42250
1982,Total Live-births,42654
1983,Total Live-births,40585
1984,Total Live-births,41556
1985,Total Live-births,42484
1986,Total Live-births,38379
1987,Total Live-births,43616
1988,Total Live-births,52957
1989,Total Live-births,47669
1990,Total Live-births,51142
1991,Total Live-births,49114
1992,Total Live-births,49402
1993,Total Live-births,50225
1994,Total Live-births,49554
1995,Total Live-births,48635
1996,Total Live-births,48577
1997,Total Live-births,47333
1998,Total Live-births,43664
1999,Total Live-births,43336
2000,Total Live-births,46997
2001,Total Live-births,41451
2002,Total Live-births,40760
2003,Total Live-births,37485
2004,Total Live-births,37174
2005,Total Live-births,37492
2006,Total Live-births,38317
2007,Total Live-births,39490
2008,Total Live-births,39826
2009,Total Live-births,39570
2010,Total Live-births,37967
2011,Total Live-births,39654
2012,Total Live-births,42663
2013,Total Live-births,39720
2014,Total Live-births,42232
2015,Total Live-births,42185
2016,Total Live-births,41251
2017,Total Live-births,39615
2018,Total Live-births,39039