,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Expenditure on Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Expenditure On Gross Domestic Product In Chained (2015) Dollars, Quarterly ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 24/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2021 3Q,2021 2Q,2021 1Q,2020 4Q,2020 3Q,2020 2Q,2020 1Q,2019 4Q,2019 3Q,2019 2Q,2019 1Q,2018 4Q,2018 3Q,2018 2Q,2018 1Q,2017 4Q,2017 3Q,2017 2Q,2017 1Q,2016 4Q,2016 3Q,2016 2Q,2016 1Q,2015 4Q,2015 3Q,2015 2Q,2015 1Q,2014 4Q,2014 3Q,2014 2Q,2014 1Q,2013 4Q,2013 3Q,2013 2Q,2013 1Q,2012 4Q,2012 3Q,2012 2Q,2012 1Q,2011 4Q,2011 3Q,2011 2Q,2011 1Q,2010 4Q,2010 3Q,2010 2Q,2010 1Q,2009 4Q,2009 3Q,2009 2Q,2009 1Q,2008 4Q,2008 3Q,2008 2Q,2008 1Q,2007 4Q,2007 3Q,2007 2Q,2007 1Q,2006 4Q,2006 3Q,2006 2Q,2006 1Q,2005 4Q,2005 3Q,2005 2Q,2005 1Q,2004 4Q,2004 3Q,2004 2Q,2004 1Q,2003 4Q,2003 3Q,2003 2Q,2003 1Q,2002 4Q,2002 3Q,2002 2Q,2002 1Q,2001 4Q,2001 3Q,2001 2Q,2001 1Q,2000 4Q,2000 3Q,2000 2Q,2000 1Q,1999 4Q,1999 3Q,1999 2Q,1999 1Q,1998 4Q,1998 3Q,1998 2Q,1998 1Q,1997 4Q,1997 3Q,1997 2Q,1997 1Q,1996 4Q,1996 3Q,1996 2Q,1996 1Q,1995 4Q,1995 3Q,1995 2Q,1995 1Q,1994 4Q,1994 3Q,1994 2Q,1994 1Q,1993 4Q,1993 3Q,1993 2Q,1993 1Q,1992 4Q,1992 3Q,1992 2Q,1992 1Q,1991 4Q,1991 3Q,1991 2Q,1991 1Q,1990 4Q,1990 3Q,1990 2Q,1990 1Q,1989 4Q,1989 3Q,1989 2Q,1989 1Q,1988 4Q,1988 3Q,1988 2Q,1988 1Q,1987 4Q,1987 3Q,1987 2Q,1987 1Q,1986 4Q,1986 3Q,1986 2Q,1986 1Q,1985 4Q,1985 3Q,1985 2Q,1985 1Q,1984 4Q,1984 3Q,1984 2Q,1984 1Q,1983 4Q,1983 3Q,1983 2Q,1983 1Q,1982 4Q,1982 3Q,1982 2Q,1982 1Q,1981 4Q,1981 3Q,1981 2Q,1981 1Q,1980 4Q,1980 3Q,1980 2Q,1980 1Q,1979 4Q,1979 3Q,1979 2Q,1979 1Q,1978 4Q,1978 3Q,1978 2Q,1978 1Q,1977 4Q,1977 3Q,1977 2Q,1977 1Q,1976 4Q,1976 3Q,1976 2Q,1976 1Q,1975 4Q,1975 3Q,1975 2Q,1975 1Q
GDP In Chained (2015) Dollars,"121,514.4","119,660.0","119,367.5","118,906.7","113,497.3","103,828.8","117,588.4","121,815.1","120,525.5","119,799.0","117,541.3","120,214.1","119,233.2","118,184.6","115,681.9","118,354.5","115,677.6","112,747.4","110,539.7","113,187.4","109,857.0","108,824.4","105,671.9","108,278.4","106,808.0","105,879.3","102,478.4","105,970.4","103,016.3","102,650.8","99,519.1","101,381.3","99,419.1","99,365.9","95,412.4","96,428.4","93,664.1","94,966.9","92,266.9","91,994.7","91,794.6","89,456.8","87,964.4","87,402.8","85,121.6","86,784.0","80,373.5","77,073.7","77,100.8","73,148.3","69,276.2","72,178.8","74,983.6","74,012.7","75,065.5","74,732.4","75,040.2","71,640.6","69,394.4","70,094.1","67,616.2","65,104.9","63,926.6","64,706.6","62,296.2","59,802.7","57,900.2","59,172.2","57,378.1","56,332.1","55,049.7","54,945.7","52,989.6","49,687.8","49,928.3","50,474.8","50,318.7","49,817.5","47,934.8","47,586.1","47,195.8","47,807.2","48,477.2","50,041.6","49,703.4","47,521.1","45,864.8","45,659.4","45,328.5","43,959.4","42,173.4","42,620.1","41,954.9","41,691.8","41,264.4","43,741.9","44,174.2","42,726.8","40,648.8","40,846.5","39,815.5","39,029.7","38,443.3","38,642.8","38,257.0","35,865.9","34,375.8","35,846.1","35,285.4","33,442.8","32,683.4","32,876.6","31,561.0","30,309.8","28,799.5","29,122.0","28,303.8","26,983.6","26,432.0","26,794.8","26,526.0","25,605.2","25,014.1","25,154.8","24,727.4","24,035.3","23,506.4","23,276.1","22,717.0","22,100.9","20,617.5","21,265.4","20,667.6","19,835.7","18,762.0","19,203.0","18,583.8","17,710.3","16,881.1","17,070.8","16,555.6","16,075.7","15,622.5","16,023.9","16,094.5","16,062.9","16,277.7","16,650.1","16,476.3","16,072.7","15,663.9","15,718.6","15,140.1","14,638.5","14,123.7","14,290.6","13,947.4","13,553.7","13,130.8","13,516.1","13,103.6","12,623.8","12,037.0","12,246.6","11,788.6","11,326.0","10,914.1","11,288.5","10,684.1","10,266.4","9,786.2","10,274.0","9,877.3","9,273.3","8,935.6","9,322.7","9,074.9","8,732.9","8,461.6","8,694.2","8,530.7","8,118.5","7,966.1","8,128.6","7,954.6","7,558.6","7,361.9"
  Private Consumption Expenditure,"39,696.0","39,202.5","40,634.0","40,760.0","38,470.9","31,550.1","43,720.4","45,978.0","44,229.2","44,687.9","45,010.1","45,490.1","42,876.2","43,306.1","42,564.5","44,000.1","41,174.6","41,432.7","40,970.9","41,756.7","39,485.3","40,376.0","40,864.6","41,171.0","38,250.1","39,233.1","38,689.5","38,740.8","36,584.9","37,422.4","36,888.8","36,979.0","35,608.0","36,212.4","35,630.9","36,270.4","34,692.1","34,925.4","34,587.6","35,165.1","33,293.7","33,946.7","33,027.4","33,709.2","31,873.9","32,296.2","32,393.7","32,187.2","31,372.8","30,736.6","30,544.8","31,644.0","31,049.2","31,494.2","30,999.3","31,338.3","29,676.4","29,870.6","29,167.6","29,097.2","27,579.3","27,768.5","27,748.7","27,442.7","26,449.9","26,747.9","26,840.2","26,278.4","25,408.8","25,748.7","25,815.6","25,658.6","24,598.9","23,412.2","24,426.7","24,409.7","24,173.6","24,156.7","24,113.6","22,998.6","23,285.4","23,639.8","23,701.0","22,306.2","21,808.8","21,424.3","21,097.0","19,862.1","19,110.5","18,760.5","18,541.8","17,237.0","16,986.5","17,376.1","17,958.6","18,068.7","18,125.5","17,271.7","17,461.7","17,297.9","16,703.2","16,484.6","16,590.4","16,307.1","15,639.0","15,444.5","15,544.8","15,444.0","14,975.2","14,660.8","15,515.4","14,674.9","14,030.1","13,821.3","13,947.5","13,143.3","12,582.2","12,344.7","12,463.4","12,417.3","11,839.9","11,607.6","11,856.0","11,762.4","11,022.8","11,037.1","11,142.9","11,150.3","10,533.8","10,315.7","9,869.5","10,512.6","9,730.4","9,420.4","8,998.4","9,287.0","8,927.7","8,570.6","7,913.4","8,257.0","8,060.9","7,773.8","7,389.2","7,825.0","7,395.0","7,489.4","7,580.7","8,051.0","7,436.2","7,406.8","7,419.5","7,378.3","7,245.6","7,214.7","6,800.9","7,170.9","6,790.7","6,665.2","6,471.1","6,737.9","6,586.2","6,412.4","6,313.1","6,550.0","6,214.0","6,249.7","5,830.7","6,197.1","5,925.8","5,758.6","5,633.6","5,691.4","5,660.5","5,384.7","5,315.0","5,423.8","5,214.2","5,112.7","4,942.3","5,227.7","4,928.2","4,770.6","4,739.4","5,062.3","4,748.2","4,505.8","4,365.0"
  Government Consumption Expenditure,"14,026.6","13,016.4","16,534.4","13,642.0","13,584.1","12,824.9","15,416.3","12,444.3","11,728.7","10,707.7","14,383.5","11,841.5","11,436.3","10,538.5","13,836.3","11,613.6","11,351.5","10,410.3","12,817.7","11,564.3","10,680.2","10,161.1","12,402.9","11,210.0","10,692.3","9,473.4","11,777.1","10,102.9","9,500.8","9,220.5","10,801.2","9,849.7","9,424.0","8,112.4","11,993.4","8,618.9","8,636.5","7,073.9","10,915.9","8,815.7","8,564.5","7,199.1","10,365.5","9,289.2","8,203.8","6,821.0","10,694.6","7,973.6","7,814.0","6,191.8","9,783.6","7,292.9","6,971.9","5,885.9","10,141.2","6,896.9","6,599.6","5,558.5","9,433.7","6,507.9","6,444.3","5,319.5","9,539.9","6,557.9","5,635.2","5,226.4","8,496.6","6,114.9","5,501.9","5,388.6","7,910.0","6,055.7","5,700.4","5,648.4","7,261.0","5,632.8","6,176.9","5,352.0","7,280.9","5,608.5","5,548.2","4,605.1","7,600.5","6,428.7","4,183.2","3,707.6","7,917.7","4,215.1","3,843.8","3,366.1","7,368.8","4,318.5","3,817.7","3,549.4","5,943.1","4,052.8","3,674.6","3,040.9","5,593.9","3,354.1","4,132.1","2,693.5","5,184.3","3,291.2","3,186.2","2,571.8","4,158.9","2,612.4","2,938.1","2,484.2","3,921.8","2,419.3","2,953.4","2,273.3","4,364.7","2,317.3","2,475.1","2,054.5","3,551.2","2,179.9","2,308.7","1,953.3","3,695.9","2,031.1","2,286.3","1,595.0","3,455.5","1,799.9","1,964.0","1,668.5","3,018.6","1,781.0","1,849.1","1,520.7","2,813.3","2,239.3","1,966.4","1,549.6","2,717.2","1,854.3","1,887.9","1,687.5","2,939.9","1,862.0","1,945.8","1,703.1","2,782.2","1,687.3","1,692.2","1,287.3","2,233.3","1,531.4","1,451.0","1,339.6","2,222.8","1,555.2","1,437.9","1,198.4","1,777.8","1,354.6","1,287.0","1,271.4","1,356.7","1,226.4","1,153.7","1,285.9","1,331.6","1,055.0","1,154.9",995.8,"1,319.6","1,099.6","1,052.2",932.8,"1,448.8",977.7,907.0,915.8,"1,276.1",865.5,919.8,772.1,"1,188.9",863.7,896.3,747.1,"1,067.2"
  Gross Fixed Capital Formation,"28,421.9","28,474.4","27,657.9","28,491.6","22,669.8","21,740.3","29,108.1","29,911.0","29,459.8","30,152.9","28,667.5","29,732.8","28,432.3","30,042.0","28,611.5","32,361.3","30,163.6","30,825.5","28,761.1","30,417.2","28,231.2","29,760.6","27,445.4","30,276.3","29,017.8","29,042.4","26,934.7","29,505.8","28,286.4","27,583.2","27,679.7","27,419.3","28,683.0","26,262.4","26,112.5","26,414.9","25,461.7","24,781.6","25,525.5","24,097.3","25,291.9","23,366.6","21,310.4","23,026.9","22,184.9","21,736.5","21,488.5","21,775.8","20,668.6","21,096.8","19,303.2","19,387.9","19,682.1","20,036.0","19,429.2","20,643.4","16,885.0","16,961.7","16,418.4","17,166.9","15,681.3","14,114.6","14,427.2","15,492.3","13,942.4","13,147.5","13,513.4","13,116.9","14,491.0","13,513.8","13,003.9","12,638.4","12,455.7","11,783.6","12,196.1","12,715.0","12,674.3","13,103.9","13,248.5","13,708.3","14,402.5","14,043.7","14,801.0","15,065.7","16,323.0","13,976.9","14,718.6","13,618.7","14,365.4","13,125.2","12,819.1","13,420.7","14,209.7","13,820.2","15,020.6","16,407.5","15,746.8","13,965.1","13,337.6","14,894.3","12,566.9","13,584.1","12,735.9","12,689.6","10,879.3","10,104.5","9,658.7","10,390.0","9,836.8","9,173.8","9,199.7","9,513.8","8,833.8","8,632.1","8,142.5","8,875.4","7,897.1","7,759.5","7,462.0","7,141.4","7,297.9","7,343.2","6,794.6","6,595.2","6,552.2","6,015.5","6,061.1","6,367.3","5,588.0","5,119.8","5,595.9","5,172.6","5,326.4","4,531.4","4,541.9","4,882.0","4,720.4","4,334.0","4,579.8","4,507.3","4,808.7","4,257.2","4,834.1","4,977.3","5,105.5","4,854.5","6,052.2","6,185.4","5,627.3","6,005.8","5,958.3","5,584.3","5,528.7","5,737.6","4,804.5","4,960.1","5,087.2","4,707.2","4,751.6","4,665.1","4,171.0","3,828.2","3,452.0","3,593.3","3,512.9","3,570.0","3,205.9","3,184.2","3,233.3","2,767.6","2,319.6","2,831.7","2,374.1","2,429.3","2,509.6","2,405.3","2,381.0","2,211.6","1,987.0","1,987.2","2,322.4","2,247.5","2,304.5","2,121.8","1,992.9","2,139.7","2,170.8"
  Changes In Inventories,981.6,899.7,936.0,"1,203.7","1,289.8","1,182.1",995.0,"2,077.4","1,663.4","1,657.6","1,824.9","3,347.3","3,166.6","2,017.5","1,425.8","3,496.4","2,027.6","1,775.4","1,237.0","3,122.5",-691.5,"-1,604.2",865.3,"-3,596.2",-191.8,"1,152.6","-5,279.2",-445.9,"-1,021.6","3,483.7","2,335.7","1,584.5","1,657.2","2,865.5","1,889.4","2,632.8",925.6,"5,685.2",-373.8,"1,639.9","-1,186.3","4,144.4",-412.4,"-1,433.4",-425.3,"5,885.8","1,993.1",-148.7,"1,019.1",-779.4,"-4,222.5","4,366.5","1,397.0","2,860.6","-2,845.1","2,248.1","-1,414.8",935.2,"-5,379.5","-1,354.7","1,301.6","1,861.0","-3,267.7","-1,649.6","-1,155.2","1,102.4","-1,605.6",467.0,"-1,117.6",169.0,"-1,529.7","-1,493.1","-3,031.7","-1,247.6","-3,722.9",-768.9,"-1,072.4","1,496.4","-1,743.1","-1,568.9","-1,035.5",223.9,"-1,586.6","2,214.8",786.4,"1,913.1","-1,444.5",-24.4,-67.8,-25.3,"-2,405.8","-2,431.8","-2,769.7",-925.1,"-1,749.8",-385.4,47.0,482.2,-483.6,-638.0,"-1,899.4",-101.5,-630.9,202.0,462.4,"1,186.0","-1,163.2",-945.3,-755.1,203.5,"1,118.8",595.9,153.2,"1,333.7",-30.1,664.3,-359.0,648.4,-754.7,-385.7,165.6,333.6,472.7,369.1,-60.1,"1,531.9",672.7,-472.0,482.6,"1,268.4",-20.1,-31.3,650.0,846.7,4.0,524.0,563.9,700.1,481.2,448.4,-65.2,57.4,155.5,-104.2,287.6,153.3,-184.9,329.1,21.9,181.7,-252.9,294.3,-88.7,-23.2,-4.9,-96.9,66.6,-166.3,369.5,-366.0,202.5,505.1,535.9,337.2,749.7,348.4,385.3,148.4,436.1,677.9,654.9,554.3,474.3,240.3,-150.9,159.2,254.9,-90.5,33.6,188.8,290.9,5.6,112.3,-70.2,237.1,90.9,221.3
